Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
239377-1,Conversion,Invoice,Invoice,Yes,Complete,BASIN REFRIGERATION & HEATING,2436,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3067,2026-03-25 00:00:00,Dorse House Account,620856-086,4185,1.51000001e+11
244878,Conversion,Invoice,Invoice,Yes,Complete,STEELHEAD MECHANICAL,333,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2180,2026-03-06 00:00:00,Dorse House Account,CG,3543,1.510000008e+11
245396,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,216,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-14 00:00:00,Dorse House Account,WA2788,3887,1.51000001e+11
244517,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,454.99,USD,2026-01-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-02-22 00:00:00,Dorse House Account,S1000010335,4103,1.510000006e+11
245633,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,138.12,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-03-22 00:00:00,Dorse House Account,2509-2720,3557,1.510000011e+11
242994-2,Conversion,Invoice,Invoice,Yes,Complete,MACKIN & LITTLE,1096,USD,2026-01-17 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4377,2026-02-16 00:00:00,Dorse House Account,24-28-B,3527,1.510000003e+11
245323,Conversion,Invoice,Invoice,Yes,Complete,CAMPBELL & COMPANY INC,750,USD,2026-02-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3800,2026-03-18 00:00:00,Dorse House Account,1249086,4252,1.510000009e+11
245624,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,895,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-20 00:00:00,Dorse House Account,26049018,3442,1.510000004e+11
245419,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,171.86,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-20 00:00:00,Dorse House Account,sp929045,4103,1.510000016e+11
239049,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,200,USD,2025-12-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-01-08 00:00:00,Dorse House Account,30253,4289,1.510000004e+11
245701,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,275,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-22 00:00:00,Dorse House Account,694060,3377,1.510000013e+11
245548,Conversion,Invoice,Invoice,Yes,Complete,BLUE MOUNTAIN MECHANICAL INC,138,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4407,2026-03-20 00:00:00,Dorse House Account,BMM1371,3079,1.510000008e+11
246198,Conversion,Credit Memo,Credit Memo,No,Incomplete,EVERGREEN REFRIGERATION LLC,-21035,USD,2026-02-28 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2019707,3971,NaT,Dorse House Account,BF928870,4103,
240443,Conversion,Invoice,Invoice,Yes,Complete,ZIP MECHANICAL,105,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2750,2026-03-15 00:00:00,Dorse House Account,Mary Ruth Manor,3792,1.510000009e+11
243473,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,14.33,USD,2025-12-31 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-30 00:00:00,Dorse House Account,2515-2720,3557,1.510000005e+11
244964,Conversion,Invoice,Invoice,Yes,Complete,UNITED SYSTEMS MECHANICAL INC,56.23,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3714,2026-03-29 00:00:00,Dorse House Account,54427-9932,4010,1.510000001e+11
245822,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,145,USD,2026-02-24 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-26 00:00:00,Dorse House Account,694595,3377,1.510000005e+11
