Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2026-01-01,2028-07-01,The Virginia Home,CJBS_Billable Project Type,CJBS PU,0125-6182,New Construction,0125-6182,Active,CONTRACTOR,"Flagg, Daniel",43.6469434,Schneider Electric,"### Left Flank Road  Mechanicsville, VA 23116",USD,CJBS
Richmond-C&J-Building Automation,WELDING PROCESS & MECHANICAL INC,2025-12-01,2026-08-01,U of R Steam Plant - UPS Add - DA & Brl Ctrl,CJBS_Billable Project Type,CJBS PU,0125-7074,Renovation,0125-7074,Active,CONTRACTOR,"Suttles, Jonathan",44.5,Schneider / Tridium,"University of Richmond Steam Plant Richmond, VA 23173",USD,CJBS
Richmond-C&J-Building Automation,RIDDLEBERGER BROTHERS,2025-05-01,2027-02-01,UVA Alumni Hall,CJBS_Billable Project Type,CJBS PU,0125-5988,New Construction,0125-5988,Active,CONTRACTOR,"Flagg, Daniel",115.7,Schneider,"211 Emmet St South  Charlottesville, VA 22903",USD,CJBS
Richmond-C&J-Building Automation,BLAUCH BROTHERS,2025-01-01,2027-05-11,UVA Community Credit Union,CJBS_Billable Project Type,CJBS PU,0125-5829,New Construction,0125-5829,Active,CONTRACTOR,"Flagg, Daniel",145.3828419,Schneider Jace and Field Controllers,"1201 5th Street  Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,WACO INC,2024-10-01,2027-01-01,VCBR RTU Replacement,,CJBS PU,0124-5809,Renovation,0124-5809,Active,CONTRACTOR,"Suttles, Jonathan",99.60583333,,"4901 Patrick Henry HWY  Burkeville, VA 23922",USD,CJBS
Richmond-C&J-Building Automation,EMC MECHANICAL SERVICES,2025-11-01,2027-07-01,VCUHS Chesterfield ASC MOB,CJBS_Billable Project Type,CJBS PU,0125-6535,New Construction,0125-6535,Active,CONTRACTOR,"Suttles, Jonathan",62.3,Schneider,"9820 Iron Bridge Rd Chesterfield, VA 23832",USD,CJBS
,B&W MECHANICAL,2026-05-01,2027-07-01,VDACS Harrisonburg Lab Addition,CJBS_Billable Project Type,CJBS PU,0126-7225,New Construction,0126-7225,Active,CONTRACTOR,"Martinez, Joseph",267,JCI FX,"261 Mt Clinton Pike  Harrisonburg, VA 22802",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2024-01-01,2026-09-01,VDOC - Fluvanna HVAC Replacement IFB-18299,CJBS_Billable Project Type,CJBS PU,0124-5167,Renovation,0124-5167,Active,CONTRACTOR,"Tees, Jason",94.22755418,JCI FX,"144 Prison Ln Troy, VA 22974",USD,CJBS
Richmond-C&J-Building Automation,WACO INC,2024-10-01,2026-12-31,VDOC Baskerville Airplane Bldg,CJBS_Billable Project Type,CJBS PU,0124-5897,Renovation,0124-5897,Active,CONTRACTOR,"Tees, Jason",153.908911,JCI FX - extenstion of existing JCI NAE,"4150 Hayes Mill Road Baskerville, VA 23915",USD,CJBS
Richmond-C&J-Building Automation,OLD DOMINION MECHANICAL (C),2026-06-01,2027-06-01,VDOC Beaumont Spradlin Reno,CJBS_Billable Project Type,CJBS PU,0126-7205,Renovation,0126-7205,Active,CONTRACTOR,"Tees, Jason",89,SE Tridium,"3500 Beaumont Road  Beaumont, Virginia 23014",USD,CJBS
Richmond-C&J-Building Automation,OLD DOMINION MECHANICAL (C),2025-07-01,2026-12-01,VDOT - Stanardsville Combo Bldg,CJBS_Billable Project Type,CJBS PU,0125-6499,New Construction,0125-6499,Active,CONTRACTOR,"Suttles, Jonathan",171.089209,Schneider Tridium,"131 Fredericksburg Road  Greene County, VA 22968",USD,CJBS
Richmond-C&J-Building Automation,COLONIAL WEBB CONTRACTORS,2026-04-01,2027-05-01,VSU Johnnella Jackson Hall,CJBS_Billable Project Type,CJBS PU,0126-7182,,0126-7182,Active,CONTRACTOR,"Tees, Jason",89,SE,"3224 Hayden Street  Petersburg, VA 23806",USD,CJBS
Richmond-C&J-Building Automation,SOUTHERN AIR,2026-02-01,2027-02-01,VSU Lindsay Montague Improve HVAC,CJBS_Billable Project Type,CJBS PU,0126-6975,Renovation,0126-6975,Active,CONTRACTOR,"Tees, Jason",133.5,SE / JCI-FX,"21201 Hayden Drive  Petersburg, VA 23806",USD,CJBS
