Project Name,Project Number,Project Status,Project Unit,Project Type,Project Manager,Customer,Start Date,Finish Date,Project Description,Operating Company (OpCo),Branch,Project Ledger Currency,Quote Number,Contract Type,Product Estimated,Distribution To,Cost Per Trip/Day
CCPS - New West Area Elem School,0124-5916,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",HARRIS HEATING & PLUMBING CO,2024-11-01 00:00:00,2026-09-01 00:00:00,"17160 Westerleigh Parkway  Moseley, VA 23120",CJBS,Richmond-C&J-Building Automation,USD,0124-5916,New Construction,Schneider with JACE,CONTRACTOR,18.49483733
CMA CGM HQ 1st Floor,0125-6985,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",CMA CGM (AMERICA) LLC,2025-11-01 00:00:00,2026-09-01 00:00:00,"5701 Lake Wright Dr Norfolk, VA 23502",CJBS,Richmond-C&J-Building Automation,USD,0125-6985,Renovation,Schneider / Schneider,CONTRACTOR,104.4
CMA CGM HQ 3rd Floor,0124-4507,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",,2024-02-20 00:00:00,2026-10-20 00:00:00,"5701 Lake Wright Dr Norfolk, VA 23502",CJBS,Richmond-C&J-Building Automation,USD,0124-4507,Renovation,Schneider Electric,CONTRACTOR,143.1300218
COR Community Centers,0126-7313,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Taylor",,2026-06-01 00:00:00,2027-08-01 00:00:00,"900 E Broad Street 4th Floor - Room 407 Richmond, VA 23219",CJBS,Richmond-C&J-Services,USD,0126-7313,Service Contract,,CONTRACTOR,87
COR WWTP Admin Building,0125-6731,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",,2025-11-01 00:00:00,2027-02-01 00:00:00,"1400 Brander Street  Richmond, VA 23224",CJBS,Richmond-C&J-Building Automation,USD,0125-6731,Renovation,JCI FX,CONTRACTOR,71.2
CTP-02,0125-6005,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",SCHNEIDER ELECTRIC NATIONAL ACCOUNTS ©,2025-01-01 00:00:00,2029-05-04 00:00:00,"1401 Meadowville Technology Park Chester, VA 23836",CJBS,Richmond-C&J-Building Automation,USD,0125-6005,New Construction,No Product Required - Labor and ESUB only,CONTRACTOR,69.451465
Carter Bellwood Rental Store,0124-6046,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",HARRIS HEATING & PLUMBING CO,2024-10-01 00:00:00,2027-02-01 00:00:00,"1705 Bellwood Road  Richmond, VA 23237",CJBS,Richmond-C&J-Building Automation,USD,0124-6046,New Construction,JCI FX,CONTRACTOR,62.3
Chesterfield County Jail - HVAC Replacement,0125-5497,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",COLONIAL WEBB CONTRACTORS,2025-04-01 00:00:00,2026-12-01 00:00:00,"6900 Mimms Drive  Chesterfield, VA 23832",CJBS,Richmond-C&J-Building Automation,USD,0125-5497,Renovation,Schneider Tridium,CONTRACTOR,55.05392093
Chesterfield County New Animal Services Facility,0125-6147,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",RYCON CONSTRUCTION,2025-04-01 00:00:00,2027-01-01 00:00:00,"Government Center Parkway  Chesterfield County, VA 23832",CJBS,Richmond-C&J-Building Automation,USD,0125-6147,New Construction,Schneider Tridium,CONTRACTOR,62.3
Chesterfield Fleet & Midlo Library 2025-26 - SA,0125-6777,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",CHESTERFIELD COUNTY,2025-08-01 00:00:00,2026-10-01 00:00:00,"6609 Public Works Court Chesterfield, VA 23832",CJBS,Richmond-C&J-Services,USD,0125-6777,Service Contract,Tridium,CONTRACTOR,87
