PARTY_NAME,PARTY_NUMBER,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY,row_number
LYNN SERVICES INC,16323,100000046344843,100000046354718,BILL_TO,100000046341179,3624,LYNN SERVICES INC,100000046349251,A,15764,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6405,11881 E BUNCO RD,,,,ATHOL,83801,ID,US,
PATTERSON PLUMBING,16324,100000046346253,100000046354590,BILL_TO,100000046341180,4171,PATTERSON PLUMBING,100000046349798,A,17174,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6277,PO BOX 201,,,,BILOXI,39533,MS,US,
R&L ENVIROCARE,16325,100000046344848,100000046354591,BILL_TO,100000046341181,5341,R&L ENVIROCARE,100000046350968,A,15769,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6278,PO BOX 135,,,,FAIR GROVE,65648,MO,US,
FRONTIER MECHANICAL,16326,100000046345634,100000046354593,BILL_TO,100000046341182,5007,FRONTIER MECHANICAL,100000046350634,A,16555,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6280,2771 N MANSFIELD,,,,ENGLEWOOD,80110,CO,US,
ALL SEASONS MECHANICAL INC,16327,100000046345636,100000046354594,BILL_TO,100000046341183,4429,ALL SEASONS MECHANICAL INC,100000046350056,A,16557,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6281,6744 TOWNLINE RD,,,,SYACUSE,13211,NY,US,
LAWRENCE MEMORIAL HOSPITAL,16328,100000046345075,100000046354493,BILL_TO,100000046341184,5343,LAWRENCE MEMORIAL HOSPITAL,100000046350970,A,15996,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6180,1309 W MAIN ST,,,,WALNUT RIDGE,72476,AR,US,
INTERCOMPANY PARTS,16329,100000046346257,100000046353632,BILL_TO,100000046341185,5009,INTERCOMPANY PARTS,100000046350636,A,17178,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5319,3095 STONEBROOK CIR,,,,MEMPHIS,38116,TN,US,
KW MECHANICAL SERVICES INC,16330,100000046344781,100000046355100,BILL_TO,100000046341186,4175,KW MECHANICAL SERVICES INC,100000046349802,A,15702,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6787,290 ALVIS RD,,,,JACKSONVILLE,32220,FL,US,
JONES HEATING & AIR,16331,100000046345878,100000046354721,BILL_TO,100000046341187,4662,JONES HEATING & AIR,100000046350289,A,16799,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6408,520 EDISON AVE,,,,BENTON,72015,AR,US,
HOLLEYCO MECHANICAL CONTRACTOR,16332,100000046344852,100000046353634,BILL_TO,100000046341188,4663,HOLLEYCO MECHANICAL CONTRACTOR,100000046350290,A,15773,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5321,12 W COMMERCE ST,,,,HERNANDO,38632,MS,US,
COWDREY MECHANICAL SYSTEMS,16333,100000046345803,100000046353556,BILL_TO,100000046341189,4561,COWDREY MECHANICAL SYSTEMS,100000046350188,A,16724,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5243,10406 NE 107TH ST,,,,VANCOUVER,98662,WA,US,
RELIABLE HEATING & AIR,16334,100000046345245,100000046354039,BILL_TO,100000046341190,4088,RELIABLE HEATING & AIR,100000046349715,A,16166,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5726,1325 CHASTAIN RD,,,,KENNESAW,36144,GA,US,
CAET RESTAURANTS,16335,100000046344501,100000046353799,BILL_TO,100000046341191,4913,CAET RESTAURANTS,100000046350540,A,15422,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5486,1000 HIGHLAND COLONY,,,,RIDGELAND,39157,MS,US,
LITTLE ROCK WINNELSON #232,16336,100000046344504,100000046354040,BILL_TO,100000046341192,3544,LITTLE ROCK WINNELSON #232,100000046349171,A,15425,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5727,PO BOX 1127,,,,DAYTON,45401-1127,OH,US,
FAHRENHEIT MECHANICAL SERVICES,16337,100000046346433,100000046354925,BILL_TO,100000046341193,4915,FAHRENHEIT MECHANICAL SERVICES,100000046350542,A,17354,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6612,56 DEPOT ST,,,,BROAD BROOK,06016,CT,US,
PMC BIOGENIX INC,16338,100000046344507,100000046354927,BILL_TO,100000046341194,3546,PMC BIOGENIX INC,100000046349173,A,15428,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6614,1231 POPE ST,,,,MEMPHIS,38108,TN,US,
SOUTHERN A/C & HEATING,16339,100000046345249,100000046354468,BILL_TO,100000046341195,4563,SOUTHERN A/C & HEATING,100000046350190,A,16170,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6155,175 PARK ST,,,,HERNANDO,38632,MS,US,
JA CROSON LLC,16340,100000046346163,100000046355141,BILL_TO,100000046341196,4922,JA CROSON LLC,100000046350549,A,17084,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6828,31550 COUNTY RD 437,,,,SORRENTO,32776,FL,US,
TOTAL HVAC,16341,100000046346440,100000046354100,BILL_TO,100000046341197,3555,TOTAL HVAC,100000046349182,A,17361,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5787,PO BOX 551117,,,,DALLAS,75355,TX,US,
CENTRAL SALES COMPANY,16342,100000046345023,100000046353569,BILL_TO,100000046341198,3363,CENTRAL SALES COMPANY,100000046348990,A,15944,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5256,2170 YORK AVE,,,,MEMPHIS,38104,TN,US,
