Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Payment Term,Due Date,Invoice Amount,Salesperson Name,Sales credit percentage
Type,Date,Num,P. O. #,Name,Name Address,Terms,Due Date,Open Balance,,
Invoice,2026-01-21 00:00:00,243885,183381,PSF Mechanical:PSF-Small Projects,"PO Box 84046 Seattle, WA 98124 USA",Net 30,2026-02-20 00:00:00,500,House Account,1
Invoice,2026-01-21 00:00:00,243476,60940774,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-02-20 00:00:00,60,House Account,1
Invoice,2026-01-21 00:00:00,244373,687784,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-20 00:00:00,575,House Account,1
Invoice,2026-01-21 00:00:00,244417,687844,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-20 00:00:00,425,House Account,1
Invoice,2026-01-21 00:00:00,244307,687549,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-20 00:00:00,825,House Account,1
Invoice,2026-01-22 00:00:00,244254,305394,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-21 00:00:00,294.85,House Account,1
Invoice,2026-01-22 00:00:00,244224,687341,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,115.4,House Account,1
Invoice,2026-01-22 00:00:00,244406,687834,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,186.09,House Account,1
Invoice,2026-01-22 00:00:00,244394,2201-2725,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-21 00:00:00,159.81,House Account,1
Invoice,2026-01-22 00:00:00,244236,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-21 00:00:00,46,House Account,1
Invoice,2026-01-22 00:00:00,244381,305423,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-21 00:00:00,388.65,House Account,1
Invoice,2026-01-22 00:00:00,244215,687281,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,519.5,House Account,1
Invoice,2026-01-22 00:00:00,243570,687130,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,1532,House Account,1
Invoice,2026-01-22 00:00:00,244330,687573,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,313.74,House Account,1
Invoice,2026-01-22 00:00:00,244336,687665,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,868.07,House Account,1
Invoice,2026-01-22 00:00:00,243712-2,2187,Direct Mechanical Contractors:DIR-Habit Burger #547,"PO Box 872472 Vancouver, WA 98687 USA",Net 30,2026-02-21 00:00:00,716.67,House Account,1
Invoice,2026-01-22 00:00:00,244494,689134,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,80.6,House Account,1
Invoice,2026-01-22 00:00:00,244252,686323,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,1785,House Account,1
Invoice,2026-01-22 00:00:00,244303,687595,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-21 00:00:00,1095,House Account,1
Invoice,2026-01-23 00:00:00,242458-2,25-484-RM,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-22 00:00:00,7010,House Account,1
Invoice,2026-01-23 00:00:00,243628-1,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-22 00:00:00,4945,House Account,1
Invoice,2026-01-23 00:00:00,244490,688018,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-22 00:00:00,850,House Account,1
Invoice,2026-01-23 00:00:00,244548-1,2025-27,DB Solutions:DB Solutions GOF,"2100 196th St SW #122 Lynnwood, WA 98036 USA",Net 30,2026-02-22 00:00:00,31.15,House Account,1
Invoice,2026-01-23 00:00:00,244548,2025-27,DB Solutions:DB Solutions GOF,"2100 196th St SW #122 Lynnwood, WA 98036 USA",Net 30,2026-02-22 00:00:00,111.52,House Account,1
Invoice,2026-01-23 00:00:00,244419,2820,Trimble Mechanical:TBM-Special Projects,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-02-22 00:00:00,172.18,House Account,1
Invoice,2026-01-23 00:00:00,244458,688968,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-22 00:00:00,484.66,House Account,1
Invoice,2026-01-23 00:00:00,244552,25-641,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-22 00:00:00,267.3,House Account,1
Invoice,2026-01-23 00:00:00,242843,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-22 00:00:00,109,House Account,1
Invoice,2026-01-23 00:00:00,244554,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-22 00:00:00,68.74,House Account,1
Invoice,2026-01-23 00:00:00,244383,238651,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-02-22 00:00:00,59.79,House Account,1
Invoice,2026-01-23 00:00:00,244409-1,3185,Trimble Mechanical:TBM-Special Projects,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-02-22 00:00:00,120.7,House Account,1
Invoice,2026-01-23 00:00:00,244409,3185,Trimble Mechanical:TBM-Special Projects,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-02-22 00:00:00,2190,,
Credit Memo,2026-01-23 00:00:00,244602,23655.0284,"JH Kelly, LLC:JHK-KC Metro","PO BOX 2038 Longview, WA 98632 USA",Net 30,2026-02-22 00:00:00,-1482.25,House Account,1
Invoice,2026-01-26 00:00:00,243712-3,2187,Direct Mechanical Contractors:DIR-Habit Burger #547,"PO Box 872472 Vancouver, WA 98687 USA",Net 30,2026-02-25 00:00:00,788.33,House Account,1
Invoice,2026-01-26 00:00:00,244575,689378,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-25 00:00:00,425.08,,
Invoice,2026-01-26 00:00:00,244590,689389,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-25 00:00:00,87.77,,
Invoice,2026-01-27 00:00:00,243636,684881,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,874.98,House Account,1
Invoice,2026-01-27 00:00:00,243624,684815,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,1102.56,House Account,1
Invoice,2026-01-27 00:00:00,243494-1,686215,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,94.8,House Account,1
Invoice,2026-01-27 00:00:00,243494,686215,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,13.52,House Account,1
Invoice,2026-01-27 00:00:00,243997,687068,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,59.75,House Account,1
